timestamp;position_x;position_y;position_z;rotation_x;rotation_y;rotation_z;rotation_w
09:11:49.757;-0,3617213;-61,11032;70,6088;0,7590328;-0,198768;-0,1247761;0,607282
09:11:49.824;-0,3623709;-60,39391;70,43327;0,7578155;-0,2032805;-0,1279807;0,6066412
09:11:49.903;-0,3617094;-60,30996;70,61203;0,7573577;-0,2064881;-0,1299731;0,6057054
09:11:49.973;-0,3623002;-60,34298;70,45239;0,75706;-0,2077407;-0,131023;0,605423
09:11:50.044;-0,3266014;-60,62094;69,06709;0,7551;-0,2068275;-0,1363744;0,6069995
09:11:50.111;-0,3300395;-60,11125;68,02193;0,7529588;-0,2069564;-0,1423906;0,6082326
09:11:50.181;-0,2902907;-59,02689;67,49857;0,7516836;-0,2064902;-0,1459597;0,6091218
09:11:50.247;-0,2912306;-57,48642;67,17207;0,7514703;-0,2040283;-0,146099;0,6101803
09:11:50.316;-0,3325727;-57,05181;67,25188;0,7526487;-0,2037381;-0,1412199;0,6099735
09:11:50.383;-0,3744636;-57,0195;67,1657;0,752506;-0,2036681;-0,1371172;0,6111079
09:11:50.455;-0,417393;-57,0728;66,84422;0,7530257;-0,203565;-0,1351989;0,6109296
09:11:50.523;-0,5899079;-57,22797;65,87936;0,7531606;-0,2035195;-0,1340152;0,6110392
09:11:50.594;-0,5929992;-57,31112;65,34239;0,7532932;-0,2026895;-0,1332563;0,6113175
09:11:50.668;-0,5982587;-57,44745;64,42877;0,7530411;-0,2003901;-0,1335423;0,6123229
09:11:50.737;-0,6010454;-57,51706;63,94471;0,7529055;-0,1978022;-0,1336381;0,6133094
09:11:50.804;-0,6032138;-57,56997;63,56805;0,753206;-0,1943283;-0,1322272;0,6143559
09:11:50.875;-0,6038335;-57,5849;63,4604;0,7533398;-0,1936856;-0,1316761;0,6145132
09:11:50.947;-0,6904484;-57,59232;63,40711;0,753418;-0,1957945;-0,1313731;0,6138135
09:11:51.015;-0,9925119;-57,59232;63,40953;0,7536684;-0,1983782;-0,1301703;0,6129321
09:11:51.081;-1,941789;-57,59232;63,4228;0,7540116;-0,2012466;-0,1276228;0,61211
09:11:51.148;-3,721834;-57,63643;63,14762;0,753783;-0,2043233;-0,125713;0,6117674
