timestamp;pos_x;pos_y;pos_z;rot_x;rot_y;rot_y
1;-0,06706078;0,282282;0,2985062;-0,0578854;0,001942513;0,02073463;0,998106
1;-0,06609432;0,2830629;0,29971;-0,05454061;0,001598668;0,02099788;0,9982895
1;-0,06502482;0,2838666;0,3003882;-0,05352099;0,003130717;0,02062955;0,9983487
1;-0,06391028;0,2843803;0,3008048;-0,05317583;0,004802096;0,01924534;0,9983882
1;-0,06280714;0,2845103;0,3014074;-0,05004554;0,006092368;0,01659203;0,9985906
1;-0,06188066;0,284436;0,3022043;-0,04685072;0,004408956;0,01300558;0,9988075
1;-0,0611264;0,2840182;0,302832;-0,04349217;0,002556605;0,008905514;0,9990109
1;-0,06067697;0,2838719;0,3031386;-0,04304051;0,0004911057;0,006810193;0,99905
1;-0,06033435;0,2838016;0,3034348;-0,04162135;0,0004934996;0,006663771;0,9991111
1;-0,06016925;0,2834434;0,3038235;-0,03729387;0,001311874;0,007797153;0,9992731
1;-0,06006855;0,2829895;0,304236;-0,03295813;0,001095696;0,007583692;0,9994274
1;-0,05991501;0,2826736;0,3045374;-0,0307012;-0,0001026631;0,005748099;0,9995121
1;-0,05997629;0,2824604;0,3046259;-0,02996317;-0,001881255;0,004043144;0,999541
1;-0,06005165;0,2822419;0,304801;-0,02926649;-0,003626808;0,002865951;0,999561
1;-0,0601056;0,2817712;0,3050232;-0,02533707;-0,004723459;0,002024428;0,9996658
1;-0,05996909;0,2811933;0,3051784;-0,02083397;-0,003277221;0,0008908279;0,9997772
1;-0,05984207;0,2808041;0,3052801;-0,01777145;-0,002424111;0,0001337682;0,9998391
1;-0,05983355;0,2805384;0,3052606;-0,01584803;-0,001370087;-0,0006809728;0,9998733
1;-0,05994458;0,2805894;0,3049376;-0,01745165;-0,002000048;-0,002407225;0,9998428
1;-0,05998614;0,2807181;0,3045271;-0,02012846;-0,002856445;-0,004578642;0,9997829
1;-0,06022886;0,2807927;0,3041465;-0,02195908;-0,005235518;-0,008110775;0,9997123
1;-0,06097447;0,2809111;0,3041016;-0,02176353;-0,01061318;-0,009901818;0,9996578
1;-0,06078831;0,2810787;0,3039724;-0,02135324;-0,005682944;-0,004999479;0,9997433
1;-0,06103766;0,2811935;0,3036303;-0,02148804;-0,003952209;-0,005674301;0,9997452
1;-0,0612223;0,2813179;0,3034976;-0,02203311;-0,003787727;-0,006086985;0,9997315
1;-0,06145386;0,2814878;0,3033128;-0,02201113;-0,003234962;-0,005720062;0,9997361
1;-0,0617413;0,281655;0,3031451;-0,02187261;-0,00303287;-0,005276966;0,9997423
1;-0,06211918;0,2818802;0,3028809;-0,02227689;-0,003623368;-0,005036787;0,9997326
1;-0,06252727;0,2820929;0,3026648;-0,02219324;-0,003883676;-0,004689262;0,9997352
1;-0,06309332;0,2823359;0,3022506;-0,02341372;-0,003931612;-0,004096449;0,9997098
1;-0,0630748;0,2823774;0,3020876;-0,02304276;-0,003723034;-0,004425996;0,9997178
1;-0,06361133;0,282424;0,3015826;-0,02370811;-0,002789163;-0,003626551;0,9997085
1;-0,06360954;0,28244;0,3014477;-0,02338315;-0,002929085;-0,004107701;0,9997139
1;-0,06388824;0,2824471;0,3011458;-0,0239524;-0,003022145;-0,00390418;0,9997009
1;-0,0644208;0,2823974;0,3005847;-0,02433683;-0,002915955;-0,002501704;0,9996964
1;-0,06481893;0,2823207;0,3000418;-0,02484765;-0,002638127;-0,001280789;0,999687
1;-0,06504544;0,2823146;0,2996161;-0,02550594;-0,00265021;-0,001065203;0,9996706
1;-0,06561548;0,2823626;0,2985635;-0,02716384;-0,0003867433;0,001460593;0,9996299
1;-0,06586977;0,2824052;0,2981413;-0,02766419;-0,0004123163;0,002375626;0,9996144
1;-0,06619074;0,2824717;0,2974516;-0,02901302;0,0004595498;0,003353938;0,9995733
1;-0,06618784;0,2824757;0,2971458;-0,0291741;0,0004162549;0,002778203;0,9995704
1;-0,06628541;0,2824416;0,2967759;-0,02910652;0,000910731;0,003020564;0,9995714
1;-0,06662955;0,28244;0,2960729;-0,02945432;0,001852444;0,00455248;0,9995541
1;-0,06710568;0,2825119;0,2956905;-0,02982763;0,0003522399;0,005438512;0,9995402
1;-0,06770702;0,2826129;0,2951665;-0,03075719;-0,0003608436;0,005817315;0,9995099
1;-0,06871229;0,2828206;0,2944743;-0,03168862;-0,0006043354;0,007754696;0,9994676
1;-0,06990869;0,2830183;0,29391;-0,03278048;-0,001631906;0,008786085;0,9994226
1;-0,07133511;0,2831165;0,293661;-0,03277203;-0,003567618;0,009377124;0,9994125
1;-0,07373463;0,2832532;0,2934401;-0,03368249;-0,007224206;0,01172457;0,9993377
1;-0,07603328;0,2833437;0,2936387;-0,03306344;-0,01175372;0,01346819;0,9992934
1;-0,07878026;0,2836147;0,2937066;-0,03485287;-0,01711038;0,01488348;0,9991351
1;-0,08162975;0,2839991;0,2937505;-0,03644548;-0,02196078;0,01701827;0,9989493
1;-0,08552138;0,2848144;0,2939058;-0,04041099;-0,0315441;0,02116158;0,9984609
1;-0,09072942;0,2864228;0,2940343;-0,04923201;-0,04839923;0,02730037;0,9972404
1;-0,09636004;0,2884367;0,2939829;-0,06129934;-0,0675231;0,03519864;0,9952106
1;-0,1032836;0,2908292;0,2940945;-0,07193308;-0,09111592;0,0475159;0,9921017
1;-0,1108482;0,2934887;0,2937725;-0,0847033;-0,1194778;0,06097872;0,9873358
1;-0,1197569;0,2967693;0,2926941;-0,1030264;-0,1548074;0,075922;0,9796204
1;-0,1284075;0,2995083;0,2919754;-0,1205817;-0,1918947;0,08743405;0,9700473
1;-0,1365386;0,3017687;0,290745;-0,1362644;-0,2217764;0,09872995;0,9604685
1;-0,1429245;0,3026533;0,2898597;-0,1395484;-0,2357583;0,1126836;0,9551161
1;-0,147345;0,3028567;0,2890258;-0,1400254;-0,2418264;0,1187316;0,9527936
1;-0,1505923;0,3029155;0,2882875;-0,1408853;-0,2481667;0,1193976;0,9509516
1;-0,1537907;0,3031694;0,2869371;-0,1479503;-0,2610421;0,1216163;0,9461381
1;-0,1562181;0,3031568;0,2861548;-0,1519523;-0,2666427;0,122189;0,9438655
1;-0,1574781;0,3025997;0,2860945;-0,1487117;-0,2705227;0,1203295;0,9435164
1;-0,1593804;0,302234;0,2859026;-0,1483065;-0,2748432;0,121772;0,9421454
1;-0,1609549;0,3018263;0,2857137;-0,1478283;-0,2788382;0,1244091;0,940701
1;-0,1617076;0,301312;0,2857687;-0,1468102;-0,2812552;0,1249444;0,9400698
1;-0,1617649;0,3006295;0,2859818;-0,1429713;-0,2803924;0,1250165;0,9409093
1;-0,1615322;0,299966;0,2862734;-0,1407234;-0,2799725;0,1246142;0,9414264
1;-0,1594172;0,2990308;0,2868282;-0,1373333;-0,2730343;0,1210401;0,9444264
1;-0,1573832;0,2980768;0,2877106;-0,1322988;-0,2641919;0,1180317;0,9480339
1;-0,1538471;0,2966823;0,2891022;-0,1229487;-0,2477473;0,1142404;0,9541771
1;-0,148837;0,2948193;0,2910333;-0,1087542;-0,2255174;0,1095701;0,9619297
1;-0,1434107;0,2927372;0,2929251;-0,09323489;-0,2052614;0,1027538;0,9688224
1;-0,1376325;0,2906699;0,2942486;-0,08014009;-0,1839131;0,09594578;0,9749605
1;-0,1294028;0,2884482;0,2952985;-0,06592349;-0,1478298;0,08638225;0,9830253
1;-0,1215456;0,2864351;0,2957811;-0,05433698;-0,1175206;0,07607754;0,98866
1;-0,1114826;0,2839806;0,2960792;-0,03696523;-0,07038756;0,06351973;0,9948087
1;-0,09963541;0,2806481;0,2958991;-0,01221108;-0,01209804;0,04990156;0,9986062
1;-0,08667269;0,2764849;0,2943568;0,01362351;0,04797121;0,03276971;0,9982181
1;-0,07411395;0,2723956;0,2905217;0,02802422;0,09316601;0,007577491;0,9952273
1;-0,06524911;0,2706487;0,2843619;0,009188971;0,1040158;-0,02395881;0,9942446
1;-0,06135164;0,2715302;0,2784918;-0,03460228;0,07924864;-0,04059159;0,9954269
1;-0,05664065;0,2712414;0,2750508;-0,04454868;0,08300666;-0,04807669;0,9943913
1;-0,05120967;0,2705474;0,2721583;-0,03081783;0,1097278;-0,04499928;0,9924642
1;-0,0448648;0,2696228;0,2685235;-0,02043481;0,150039;-0,04117363;0,987611
1;-0,03888452;0,2682161;0,2645654;-0,01109013;0,1844578;-0,04563481;0,9817178
1;-0,03620429;0,2684814;0,2621106;-0,02357492;0,1724966;-0,05804263;0,9830159
1;-0,03518985;0,269793;0,2611089;-0,04055385;0,1503682;-0,06000365;0,9859738
1;-0,03523532;0,2710055;0,2617008;-0,03885981;0,1398441;-0,05202748;0,9880419
1;-0,03527071;0,2725726;0,2620664;-0,04148997;0,1370868;-0,04462376;0,9886832
1;-0,03556423;0,2737735;0,263033;-0,04144876;0,1346532;-0,03784721;0,9893019
1;-0,0367169;0,2752624;0,2652684;-0,04202028;0,1230747;-0,03149621;0,991007
1;-0,03894267;0,2772039;0,2683721;-0,04751367;0,1025007;-0,02585579;0,9932611
1;-0,04147788;0,2790491;0,2717637;-0,05185203;0,08331298;-0,02196836;0,994931
1;-0,04403143;0,2807233;0,2751012;-0,05539041;0,06959722;-0,01902424;0,9958546
1;-0,04628357;0,2822052;0,2784148;-0,05778512;0,06017057;-0,01731107;0,9963638
1;-0,04927102;0,2837824;0,2826888;-0,05908503;0,04781867;-0,0168629;0,9969644
1;-0,05233857;0,2854398;0,2869216;-0,06160012;0,03624676;-0,01541937;0,9973234
1;-0,05533366;0,2868933;0,2913807;-0,06160077;0,02476433;-0,01476349;0,9976844
1;-0,05878048;0,2885015;0,2964757;-0,06268474;0,01352079;-0,01465719;0,9978341
1;-0,06204737;0,2902328;0,3013934;-0,06646048;0,002571353;-0,01611528;0,9976556
1;-0,06530756;0,2918707;0,3063117;-0,06972592;-0,008734696;-0,01703793;0,9973825
1;-0,06908664;0,2936021;0,3114803;-0,07375038;-0,02326903;-0,01903853;0,9968235
1;-0,07336222;0,2959562;0,3161542;-0,08309592;-0,04204819;-0,01900303;0,9954727
1;-0,07802701;0,298676;0,3205698;-0,09221909;-0,0560282;-0,01539148;0,994042
1;-0,08350002;0,3018582;0,3248948;-0,1005045;-0,0725202;-0,007604267;0,992261
1;-0,08910017;0,3047273;0,3290232;-0,1081302;-0,08689799;0,0001883539;0,9903315
1;-0,09644923;0,3082144;0,3330379;-0,1177154;-0,1164538;0,009165407;0,9861529
1;-0,1038079;0,3117771;0,336042;-0,1323486;-0,1387746;0,02264467;0,9811792
1;-0,1105103;0,3137728;0,3391754;-0,1313876;-0,1491299;0,036656;0,979364
1;-0,1159446;0,3149543;0,3424637;-0,1248255;-0,1581831;0,04700156;0,9783596
1;-0,1197969;0,3147623;0,3453311;-0,1140439;-0,163367;0,05200076;0,978571
1;-0,1215727;0,3145534;0,3472142;-0,1074539;-0,161932;0,05212626;0,9795482
1;-0,1223791;0,3149062;0,3485093;-0,1072507;-0,1545672;0,05110011;0,9808135
1;-0,1211407;0,315345;0,349034;-0,1087666;-0,1416343;0,04288336;0,9829906
1;-0,1181084;0,3158613;0,349071;-0,1092647;-0,1184757;0,03417141;0,9863352
1;-0,1153638;0,3166969;0,3492177;-0,1090404;-0,09071729;0,03330659;0,9893287
1;-0,1110219;0,3176821;0,3485564;-0,1108405;-0,04616258;0,03726951;0,9920657
1;-0,1072971;0,3184693;0,3477761;-0,1139123;-0,01322427;0,03349565;0,992838
1;-0,1065559;0,3187965;0,3470856;-0,1302164;-0,03088673;0,005899809;0,9909868
1;-0,1101825;0,3201473;0,3486753;-0,1489332;-0,1003624;-0,0277038;0,9833508
1;-0,1147845;0,3224381;0,3506007;-0,164111;-0,1444942;-0,0319956;0,975277
1;-0,1183939;0,3240216;0,3526903;-0,1592592;-0,1419839;-0,007918048;0,9769413
1;-0,1204353;0,3248494;0,3550296;-0,1508851;-0,1321198;0,007492861;0,979654
1;-0,121984;0,3247797;0,3579976;-0,1383517;-0,119988;0,02309203;0,9828166
1;-0,1225381;0,3243427;0,3603619;-0,1319675;-0,1115455;0,0287246;0,984539
1;-0,1217986;0,3240077;0,3622724;-0,1308248;-0,1007457;0,02597993;0,9859312
1;-0,119608;0,3234569;0,3636012;-0,1350564;-0,08442998;0,01450099;0,9871277
1;-0,1164975;0,3222637;0,3649836;-0,1382256;-0,06444046;-0,003521763;0,9882959
1;-0,1148197;0,3211651;0,3665629;-0,1414021;-0,057352;-0,02031842;0,9880806
1;-0,1167125;0,3206482;0,3684848;-0,1597343;-0,1006693;-0,04961842;0,9807593
1;-0,1189601;0,3205832;0,3709269;-0,1710669;-0,1378962;-0,07500482;0,9726742
1;-0,1210749;0,320737;0,3735893;-0,1683292;-0,1416075;-0,06987887;0,9730003
1;-0,1240754;0,3204537;0,3763977;-0,1462233;-0,1180429;-0,02504913;0,9818642
1;-0,1256693;0,3197604;0,3789185;-0,13198;-0,1049965;-0,004134055;0,9856672
1;-0,1259887;0,3190724;0,3810257;-0,1279886;-0,09835594;-0,003980629;0,9868785
1;-0,1251532;0,3178374;0,3829808;-0,1298676;-0,0986984;-0,02481477;0,9862947
1;-0,1247993;0,3162263;0,3853863;-0,126229;-0,1047572;-0,04206825;0,9855569
1;-0,1241595;0,3135408;0,3880931;-0,113708;-0,09890267;-0,0503148;0,987298
1;-0,1228803;0,3093176;0,3916845;-0,08429699;-0,07916106;-0,04804581;0,9921286
1;-0,1213448;0,3047734;0,3952275;-0,05410261;-0,05901757;-0,04724701;0,9956694
1;-0,1190877;0,2984065;0,3987811;-0,0178414;-0,03744644;-0,05414135;0,9976714
1;-0,1158489;0,2907037;0,401971;0,01828323;-0,02434082;-0,07746041;0,9965306
1;-0,1129358;0,2835422;0,4040536;0,04522329;-0,01168286;-0,09981667;0,993909
1;-0,1099404;0,2762153;0,4052278;0,06873682;-0,001786252;-0,1243526;0,9898528
1;-0,1073704;0,2695297;0,405172;0,08595875;0,009063265;-0,1448832;0,9856662
1;-0,1054307;0,2641389;0,4052932;0,09998023;0,01622075;-0,160739;0,981786
1;-0,1046578;0,2603303;0,4051759;0,1069882;0,01558407;-0,1733731;0,9789037
1;-0,1048767;0,2593399;0,4050588;0,1001522;0,00663161;-0,1846919;0,9776577
1;-0,1050397;0,2593027;0,4052362;0,09402011;0,001937755;-0,1896663;0,9773347
1;-0,1057568;0,2613981;0,4055399;0,078995;-0,007597554;-0,1893686;0,9786938
1;-0,1072682;0,2656272;0,4060751;0,06085978;-0,02278513;-0,1838081;0,9808117
1;-0,1093416;0,2716528;0,4068376;0,0406961;-0,0425422;-0,1732181;0,9831223
1;-0,1112649;0,2785581;0,40717;0,008769924;-0,0654265;-0,1650123;0,98408
1;-0,1136786;0,2899611;0,4057329;-0,05658915;-0,09401222;-0,1564551;0,9815708
1;-0,116274;0,3024478;0,4024617;-0,1434538;-0,1375974;-0,1664094;0,9658136
1;-0,1181651;0,3125168;0,397835;-0,2252782;-0,182709;-0,1922236;0,9375059
1;-0,1184636;0,321406;0,3896885;-0,316765;-0,2334599;-0,2369339;0,8882673
1;-0,1168983;0,3272768;0,3808433;-0,3795905;-0,2580591;-0,2536865;0,8514457
1;-0,1152579;0,3304324;0,3732381;-0,4001318;-0,2361651;-0,2238446;0,8567463
1;-0,1138313;0,3306361;0,3687049;-0,3780879;-0,1728043;-0,1649853;0,8944094
1;-0,1141388;0,3282311;0,3702021;-0,3309586;-0,1381608;-0,1333089;0,9239084
1;-0,114968;0,3259221;0,3746683;-0,2921622;-0,154728;-0,152288;0,9314016
1;-0,1159077;0,3218636;0,3818529;-0,2523215;-0,1992139;-0,1979907;0,9259846
1;-0,116831;0,317825;0,3872588;-0,2184175;-0,2000445;-0,2136243;0,9309354
1;-0,1178451;0,312933;0,3931511;-0,163248;-0,1837775;-0,2090833;0,9464989
1;-0,1181854;0,3042322;0,4010016;-0,07326685;-0,1427331;-0,1837551;0,9697903
1;-0,1166568;0,2931767;0,4069372;0,0194147;-0,09919843;-0,1684499;0,9805138
1;-0,1128045;0,2825208;0,4090884;0,08251587;-0,06235091;-0,1701872;0,9799693
1;-0,1050872;0,273008;0,4044771;0,08908866;-0,02340768;-0,2074155;0,9739066
1;-0,09872123;0,2691875;0,3977277;0,04772323;-0,009286975;-0,2590577;0,9646375
1;-0,09571765;0,2705953;0,392077;-0,02354233;-0,02547036;-0,3017732;0,9527487
1;-0,09694067;0,2754244;0,3891559;-0,06688819;-0,06248572;-0,3101405;0,946274
1;-0,09786503;0,2805935;0,3873237;-0,08941544;-0,0853758;-0,2958044;0,9472147
1;-0,09840085;0,2891483;0,3833695;-0,1308267;-0,0914828;-0,2559561;0,9534159
1;-0,09835146;0,296976;0,3784128;-0,1698535;-0,09035186;-0,219319;0,9564965
1;-0,09737027;0,3063569;0,370767;-0,2304923;-0,09262137;-0,1901976;0,9497997
1;-0,09596764;0,3136575;0,3610741;-0,3005671;-0,09850136;-0,1855832;0,930331
1;-0,09493063;0,318609;0,3514244;-0,3649735;-0,1191879;-0,1936654;0,9028191
1;-0,09509152;0,3214831;0,3444771;-0,3899428;-0,1203117;-0,1770342;0,8956164
1;-0,09778547;0,3211761;0,343064;-0,3606091;-0,1058749;-0,1493038;0,9145818
1;-0,1023314;0,320028;0,349199;-0,2900238;-0,1310233;-0,1300831;0,9390407
1;-0,1078127;0,3179426;0,356597;-0,2306763;-0,1699021;-0,109427;0,9518127
1;-0,1120671;0,314834;0,3622555;-0,1869601;-0,1884362;-0,09113643;0,9598082
1;-0,1135253;0,3081706;0,3690796;-0,130662;-0,1834175;-0,08703654;0,9704175
1;-0,1111063;0,2998464;0,3752182;-0,06925678;-0,1555741;-0,09561594;0,9807435
1;-0,1045251;0,289607;0,3796038;-0,004755739;-0,1109934;-0,1126542;0,9874041
1;-0,09429285;0,278917;0,3795209;0,0448395;-0,04844688;-0,1302524;0,9892809
1;-0,08129194;0,2697066;0,3740192;0,06409374;0,01348193;-0,1629798;0,9844531
1;-0,06796425;0,2628952;0,3638063;0,0504927;0,06768843;-0,2106873;0,9738992
1;-0,05718207;0,2606803;0,3507034;-0,0002798729;0,1000503;-0,2604978;0,9602764
1;-0,05006908;0,2640938;0,3377694;-0,08145024;0,111127;-0,2839749;0,9488809
1;-0,04642045;0,2709953;0,3270732;-0,1440466;0,116867;-0,2653265;0,9461472
1;-0,04542428;0,2803713;0,3176478;-0,1859944;0,1293916;-0,2039704;0,952397
1;-0,04696754;0,2899831;0,3093789;-0,2174472;0,147323;-0,1223004;0,9571078
1;-0,0545811;0,3009052;0,3053707;-0,2403326;0,1371009;-0,02629329;0,9606
1;-0,06228755;0,3063542;0,3061301;-0,2434774;0,1177715;0,02312733;0,962452
1;-0,07131714;0,3066706;0,3170052;-0,1932016;0,04799621;0,02351415;0,9797024
1;-0,08056942;0,30412;0,3303632;-0,1469986;-0,05467296;0,003699621;0,9876177
1;-0,08807831;0,3018394;0,3361855;-0,1202392;-0,07550462;0,0281403;0,9894694
1;-0,09485604;0,2971831;0,3414999;-0,08119477;-0,08448001;0,06073037;0,991253
1;-0,09808328;0,2903026;0,3450623;-0,04770323;-0,08312027;0,07654965;0,9924493
1;-0,09783744;0,2837068;0,3466717;-0,03028068;-0,08149286;0,06334062;0,9941981
1;-0,09257318;0,2766715;0,3460771;-0,02206561;-0,06767491;0,02456753;0,9971608
1;-0,08393823;0,27041;0,3432;-0,01575436;-0,02829157;-0,01033537;0,9994221
1;-0,07366395;0,2641376;0,3385065;-0,002612428;0,02672632;-0,03611887;0,9989867
1;-0,06426235;0,2582928;0,3326931;0,01323837;0,07509875;-0,05784599;0,9954088
1;-0,05454009;0,2552824;0,3221261;0,001762277;0,1234711;-0,08298466;0,9888707
1;-0,04895838;0,2577482;0,3103573;-0,05265236;0,1470318;-0,09783444;0,9828722
1;-0,04856292;0,2645608;0,299972;-0,1283929;0,1424444;-0,08867803;0,9774258
1;-0,0521937;0,2725473;0,2932684;-0,184803;0,1230698;-0,05502224;0,9734856
1;-0,058702;0,279256;0,2909019;-0,2063103;0,1054286;-0,006403558;0,9727692
1;-0,06670707;0,2830949;0,2931245;-0,2022899;0,08309746;0,03343384;0,9752209
1;-0,07792004;0,2840592;0,3053238;-0,1438613;0,0138279;0,05611364;0,9879089
1;-0,08799269;0,2841655;0,3146426;-0,1129212;-0,03039824;0,08067752;0,9898565
1;-0,09671261;0,2823902;0,3219658;-0,09088916;-0,04921626;0,1004441;0,9895595
1;-0,103308;0,2790762;0,3284063;-0,0678921;-0,07342517;0,102243;0,98972
1;-0,1075381;0,2746902;0,3329167;-0,0495342;-0,09108466;0,0968677;0,9898821
1;-0,108238;0,2697988;0,3347118;-0,03800097;-0,0881095;0,08910678;0,9913892
1;-0,1056589;0,2651942;0,335051;-0,02620745;-0,07672387;0,07204601;0,9941006
1;-0,09449029;0,2601936;0,3314192;-0,02066605;-0,02947483;0,02894845;0,9989325
1;-0,08362266;0,2556267;0,3272593;-0,009419579;0,01992302;-0,008094919;0,9997244
1;-0,07369133;0,2513679;0,3220159;0,006667566;0,07003926;-0,0338217;0,9969484
1;-0,06438371;0,2502935;0,3121629;-0,000459019;0,1180657;-0,05221134;0,9916321
1;-0,05995461;0,2543906;0,3018467;-0,05174532;0,1317801;-0,06117572;0,9880354
1;-0,06075979;0,2639554;0,2911079;-0,1313107;0,1193756;-0,04717203;0,9829963
1;-0,06269364;0,2711726;0,2843792;-0,1741535;0,1103095;-0,02708214;0,9781457
