timestamp;left_pos_x;left_pos_y;left_pos_z;left_rot_x;left_rot_y;left_rot_z;left_rot_w;right_pos_x;right_pos_y;right_pos_z;right_rot_x;right_rot_y;right_rot_z;right_rot_w;obj_pos_x;obj_pos_y;obj_pos_z;obj_rot_x;obj_rot_y;obj_rot_z;obj_rot_w
24;-0,1047412;0,1584111;0,1599557;-0,322537;-0,03333218;0,1974314;0,9251376;0,2317478;0,1590557;0,1610979;-0,2690978;0,1199401;-0,281193;0,9133078;-0,0005252297;-0,09445305;0,1786643;0,1287489;-0,08815836;0,006610367;0,9877288
25;-0,1104962;0,1773584;0,1564513;-0,361607;-0,05078165;0,1793475;0,9135076;0,2343971;0,1718853;0,1601381;-0,2889653;0,1086711;-0,2783837;0,909501;-0,0005208749;-0,09478047;0,1793826;0,1289343;-0,09058978;0,006478522;0,9874854
26;-0,1144746;0,1964066;0,1528459;-0,4053518;-0,05152239;0,1821118;0,8943549;0,235547;0,1835429;0,1606126;-0,3100705;0,09237164;-0,2792662;0,9040654;-0,0005165188;-0,09510796;0,1801011;0,1291187;-0,09301819;0,006346771;0,9872364
27;-0,1157941;0,2139506;0,1505998;-0,441906;-0,04523025;0,1844558;0,8767265;0,2350411;0,1940235;0,1631359;-0,3422724;0,0931832;-0,2864071;0,890021;-0,0005119346;-0,09545262;0,1808572;0,1293117;-0,09556927;0,006208291;0,9869683
28;-0,1156899;0,2287827;0,1504308;-0,4779534;-0,04798323;0,1815754;0,8580726;0,2327653;0,2035676;0,1679454;-0,3483933;0,0736324;-0,2944893;0,8868351;-0,0005074179;-0,0957922;0,1816022;0,1295007;-0,09807886;0,006071988;0,9866982
29;-0,113686;0,2412569;0,1532809;-0,5070127;-0,05538296;0,1747836;0,8422123;0,2289489;0,2120491;0,1735779;-0,3563765;0,0589477;-0,2922607;0,8854969;-0,0005026163;-0,0961532;0,1823942;0,1297004;-0,1007421;0,005927265;0,9864045
30;-0,1106459;0,2520346;0,1582366;-0,5259106;-0,06185418;0,1698832;0,8311028;0,2252032;0,2203164;0,1790563;-0,3642319;0,06170013;-0,2867678;0,8839075;-0,0004985065;-0,09646219;0,1830721;0,1298704;-0,1030178;0,005803528;0,9861478
31;-0,1073434;0,2605131;0,1636714;-0,5435838;-0,05377887;0,1763092;0,8188648;0,2206349;0,2268812;0,1844804;-0,3835737;0,06115827;-0,287147;0,8756012;-0,000494152;-0,09678958;0,1837903;0,1300495;-0,1054255;0,005672554;0,9858704
32;-0,1032802;0,2662061;0,1687185;-0,5834397;-0,06799519;0,1712253;0,7909847;0,2153095;0,2328765;0,1894787;-0,4095773;0,06524277;-0,2745489;0,8675326;-0,0004896615;-0,09712717;0,184531;0,1302331;-0,1079039;0,005537661;0,9855788
33;-0,09806527;0,2697368;0,1752484;-0,6234821;-0,08504415;0,1502928;0,7625285;0,2102787;0,2366716;0,1933959;-0,4216031;0,0732486;-0,2682572;0,8630896;-0,0004851652;-0,09746522;0,1852726;0,1304159;-0,1103817;0,005402734;0,9852809
