timestamp;AR_x;AR_y;AR_z;AR_ang_x;AR_ang_y;AR_ang_z;AR_ang_w;Distancia;HAP_x;HAP_y;HAP_z;HAP_ang_x;HAP_ang_y;HAP_ang_z;HAP_ang_w
09:52:29.234;-0,6894598;-0,6074438;-3,032043;0,428788;0,1832846;-0,2569;0,8464928;3,168222;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.302;-0,3827362;-0,3520708;-0,9440613;0,4297638;0,183606;-0,256228;0,8461319;1,077818;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.371;-0,2451038;-0,1952753;0,1179199;0,4285412;0,183477;-0,2563486;0,8467432;0,3348334;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.443;-0,1720839;-0,1103182;0,7028198;0,427134;0,1831279;-0,2585649;0,8468559;0,7319417;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.513;-0,1637945;-0,0758419;1,103149;0,4331608;0,1847901;-0,2492487;0,8462266;1,117819;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.581;-0,1390696;-0,07479858;1,386505;0,4363298;0,18602;-0,2449897;0,8455725;1,395468;0;0;0;0,03386182;0,9778352;0,2064637;-0,008033485
09:52:29.650;-0,1451902;-0,05790424;1,622925;0,4377234;0,1862932;-0,2427467;0,845439;1,630435;0;0;0;0,03358628;0,977844;0,2064508;-0,008436239
09:52:29.716;-0,1223211;-0,1046324;1,527252;0,4380271;0,1862985;-0,2429826;0,8452128;1,535711;0;0;0;0,02823614;0,9780138;0,2065065;-0,006845642
09:52:29.784;-0,1803541;-0,1436663;1,450012;0,4382833;0,1847494;-0,2449181;0,8448613;1,468231;0;0;0;0,01948328;0,9782273;0,2065595;-0,004997452
09:52:29.857;-0,3811178;-0,2309809;0,9772644;0,4401765;0,1802685;-0,254114;0,8421247;1,07408;0;0;0;0,01412023;0,9773855;0,2109653;-0,003466509
09:52:29.926;-0,4983835;-0,3529377;0,2093201;0,4396908;0,1772919;-0,2605017;0,841058;0,6455742;0;0;0;0,009746994;0,9774388;0,2109787;-0,002522557
09:52:29.994;-0,6734076;-0,5351563;0,1328735;0,4405261;0,1736519;-0,2674203;0,8392069;0,8703593;0;0;0;-0,0008743588;0,977487;0,2109936;-0,0002299293
09:52:30.064;-0,8457603;-0,5620251;0,1319885;0,4422584;0,1708465;-0,2744737;0,8365902;1,024014;0;0;0;-0,006849566;0,9774635;0,2109878;0,001517289
09:52:30.132;-2,517398;-1,739924;-8,71875;-0,2178397;-0,4214876;0,7948795;-0,3782336;9,240196;0;0;0;-0,01372192;0,9773912;0,2109719;0,003000701
09:52:30.210;-2,577754;-1,738257;-8,50174;0,4384513;0,1631125;-0,3009598;0,8310102;9,052399;0;0;0;-0,02371676;0,9771998;0,2109302;0,005158107
09:52:30.283;-2,096854;-1,44592;-4,13266;0,4387463;0,1566658;-0,3059262;0,8302811;4,854519;0;0;0;-0,02683969;0,977119;0,2109126;0,005832196
09:52:30.355;-2,734881;-2,370465;-7,168549;-0,2234134;-0,4123524;0,8031012;-0,3675328;8,030366;0;0;0;-0,02807333;0,9765415;0,2134025;0,006173458
09:52:30.424;-3,794545;-3,778555;-12,0806;-0,2207021;-0,4072469;0,8050512;-0,3705848;13,21427;0;0;0;-0,02956538;0,975671;0,2171498;0,006166276
09:52:30.495;-4,376793;-4,589412;-14,65689;-0,2221871;-0,4070929;0,8059567;-0,3678888;15,97008;0;0;0;-0,03308016;0,9767925;0,2114955;0,007201296
09:52:30.567;-4,749015;-4,91465;-15,90149;-0,2253084;-0,4085796;0,8082945;-0,3591084;17,30793;0;0;0;-0,03897078;0,9765751;0,2114665;0,008020182
09:52:30.642;-5,035852;-5,056369;-16,8096;-0,2372182;-0,4246958;0,8097697;-0,3280761;18,26169;0;0;0;-0,04119548;0,9764839;0,2114283;0,008958427
09:52:30.709;-5,188512;-5,064313;-16,75742;-0,2431046;-0,431134;0,8105295;-0,3131542;18,25867;0;0;0;-0,04271575;0,9764184;0,2114342;0,008831118
09:52:30.782;-5,260538;-5,129032;-16,77106;-0,2454091;-0,4333391;0,8108315;-0,3074797;18,3098;0;0;0;-0,04744266;0,9763355;0,2107427;0,01027937
09:52:30.862;-5,353012;-5,193085;-16,64578;-0,2465023;-0,4328725;0,8119799;-0,3042148;18,2402;0;0;0;-0,07050769;0,9748059;0,2110638;0,01530509
09:52:30.934;-5,896968;-5,474285;-16,03323;-0,2508319;-0,4268228;0,8172249;-0,2950408;17,93897;0;0;0;-0,08296321;0,9738249;0,2108509;0,01800194
09:52:31.007;-6,42698;-5,950324;-15,61185;-0,2533891;-0,4196354;0,8227586;-0,2876951;17,42849;0;0,2642362;-0,6510468;-0,08477758;0,9730588;0,2135925;0,01864812
09:52:31.076;-6,636865;-6,437474;-15,40805;-0,2526596;-0,4140317;0,8258911;-0,2874803;15,82017;0,07202169;5,401692;-7,339417;-0,05578586;0,9713091;0,2302634;0,02062486
09:52:31.147;-5,478083;-7,21499;-17,59155;-0,2437449;-0,4128051;0,8221734;-0,3069388;17,69756;0,185355;7,692684;-9,917541;-0,02281472;0,9739753;0,2242129;0,02408806
09:52:31.218;-3,343197;-8,506973;-21,45535;-0,2350685;-0,4105949;0,8153335;-0,3337455;20,13731;0,1867087;8,066792;-10,57596;-0,01126072;0,9749896;0,2205966;0,02461075
09:52:31.293;-2,053405;-9,82038;-24,13449;-0,2292195;-0,405645;0,8120676;-0,3513642;21,74932;0,1897002;8,110191;-12,03095;-0,00985701;0,9746459;0,2224051;0,0224558
09:52:31.361;-1,868044;-10,63022;-25,71524;-0,2252163;-0,4007353;0,8127258;-0,3580024;22,84086;0,1527154;7,968697;-12,61175;-0,01034307;0,9751617;0,2202086;0,02146733
09:52:31.431;-1,915475;-10,89892;-27,24072;-0,2224086;-0,3987139;0,8124836;-0,3625357;23,58271;0,1151233;7,854866;-13,08741;-0,01245789;0,9756124;0,2182045;0,0202987
09:52:31.501;-2,060113;-10,81411;-28,15295;-0,2203484;-0,3975261;0,8125417;-0,3649597;23,53698;0,1159717;7,693523;-13,77514;-0,0133408;0,9754508;0,2188972;0,02004698
09:52:31.570;-2,183175;-10,68199;-28,56442;-0,2189336;-0,3961793;0,8126789;-0,3669646;22,61542;0,1176715;7,381783;-15,15311;-0,0150069;0,9755242;0,2184136;0,02056108
09:52:31.642;-2,207927;-10,33439;-29,23999;-0,2182961;-0,3942879;0,8130935;-0,36846;21,64574;0,1194409;7,073524;-16,58748;-0,01669054;0,9752702;0,2193748;0,02107375
09:52:31.714;-2,106508;-9,807671;-30,24435;-0,218549;-0,3933538;0,8129165;-0,3696971;20,49877;0,1216504;6,758464;-18,37852;-0,01743081;0,9755108;0,2179935;0,02353186
09:52:31.785;-1,737211;-9,200083;-31,18619;-0,2188848;-0,3920664;0,8122023;-0,3724256;19,86797;0,122811;6,625656;-19,31933;-0,01797118;0,976051;0,2153091;0,02536596
09:52:31.858;-1,28299;-8,627453;-32,33014;-0,2204069;-0,390953;0,8112148;-0,3748428;19,26394;0,1243198;6,543895;-20,54247;-0,01841283;0,9765931;0,2125678;0,02723792
09:52:31.929;-0,9271441;-8,125278;-33,5556;-0,2218912;-0,3905344;0,8104998;-0,3759485;18,99281;0,1675876;6,635285;-21,65375;-0,01825463;0,9770812;0,2100655;0,02918147
09:52:31.999;0,03335667;-7,057428;-30,45276;-0,222755;-0,3868259;0,8087094;-0,3830602;16,08448;0,1687664;6,848239;-22,37039;-0,01846979;0,9775205;0,2078103;0,03045342
09:52:32.070;0,9673796;-5,992663;-28,37256;0,4214797;0,1327435;-0,2949564;0,8471923;14,30077;0,1703277;7,361908;-23,31963;-0,01834738;0,9781183;0,2048826;0,03116229
09:52:32.141;2,166133;-4,76566;-23,48468;0,4250517;0,1315417;-0,2918778;0,8466612;12,93729;0,1716396;8,001297;-24,11727;-0,01824536;0,9787012;0,2019805;0,03185917
09:52:32.211;2,856835;-4,089721;-21,87241;0,4253476;0,1338507;-0,2945583;0,8452212;13,51848;0,1731949;8,769852;-25,06282;-0,01843408;0,9795515;0,1977578;0,03210916
09:52:32.278;3,129998;-3,613064;-21,11099;0,4329735;0,1341343;-0,2812861;0,8458251;13,75944;0,1738889;9,093365;-25,48481;-0,01948921;0,9799687;0,1955279;0,03240916
09:52:32.348;3,295915;-3,374936;-22,00867;0,454991;0,1424689;-0,2478856;0,8433496;13,84225;0,1747765;9,499069;-26,02443;-0,02175916;0,9806581;0,1919872;0,0312591
09:52:32.417;3,285684;-3,090792;-23,10849;0,4656006;0,1475141;-0,2330052;0,8409306;13,64381;0,1753253;9,79018;-26,35809;-0,02915819;0,981019;0,1891789;0,03103048
09:52:32.486;3,138049;-2,792758;-24,34714;0,4713488;0,1497174;-0,2305253;0,8380174;13,48191;0,1762808;10,10189;-26,93901;-0,03863373;0,9810666;0,1871037;0,03174714
09:52:32.558;2,739661;-2,517845;-26,01056;0,4751437;0,1496226;-0,2377268;0,833869;13,37406;0,222675;10,45489;-28,0693;-0,04682853;0,9807369;0,1868357;0,03247625
09:52:32.628;2,473315;-2,251284;-27,28314;0,4773323;0,1484962;-0,2461343;0,8303738;13,85067;0,4512973;11,26799;-29,51514;-0,04836494;0,9808712;0,1855922;0,03328786
09:52:32.701;2,46952;-2,028107;-28,53882;0,4780534;0,1472708;-0,2526687;0,8282118;14,42928;0,6844933;12,12044;-30,73802;-0,04964687;0,9809775;0,1843363;0,03519306
09:52:32.768;2,569741;-1,859121;-29,39023;0,4784167;0,1449181;-0,257126;0,8270444;16,10343;0,8825496;13,8048;-32,72422;-0,04891162;0,9812765;0,1830411;0,03464312
