timestamp;pos_x;pos_y;pos_z;rot_x;rot_y;rot_y
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
1;0;0;-0,055;0;0;0;1
