timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1678301087.88777,True,-1.77865870766207,-7.64787361224021,58.1466721188882,0.2881359,0.7671003,-0.4133362,-0.3970994
1678301087.95359,True,-1.91668976828331,-7.43432280949186,58.2960970232568,0.2958221,0.7623698,-0.4206782,-0.3928251
1678301088.01543,True,-1.76614490580351,-6.88626445249252,58.3780901874786,0.300912,0.7578519,-0.428565,-0.3891589
1678301088.09521,True,-1.52457533076245,-6.60650944879441,58.390037403306,0.3001407,0.7558327,-0.432152,-0.3897142
1678301088.15904,True,-1.47597194830546,-6.63361950610889,58.3278793031857,0.3012598,0.7562239,-0.4308809,-0.3894992
1678301088.22387,True,-1.80721943605143,-6.82982934429061,58.4493170527466,0.305741,0.756641,-0.4288916,-0.3873874
1678301088.2877,True,-2.42048242129016,-7.05759861580238,58.6314035835238,0.3097703,0.7562082,-0.4274911,-0.3865785
1678301088.35153,True,-2.67645197639526,-6.90144320801115,59.2491959267816,0.3144036,0.7478497,-0.4403304,-0.3846821
1678301088.43032,True,-2.45953477978334,-6.71419187914205,59.4022407871497,0.307791,0.7458076,-0.4456947,-0.3878041
1678301088.49514,True,-2.24641379112653,-6.90129759540761,59.2179706027568,0.3012929,0.7481478,-0.4420208,-0.3925748
1678301088.55897,True,-2.18074909601878,-7.2627809057039,58.8933900375003,0.299122,0.7519132,-0.4345029,-0.3954237
1678301088.6238,True,-2.29541637022202,-7.68486501278158,58.6135357170732,0.3010262,0.7540853,-0.4282635,-0.3966472
1678301088.68763,True,-2.43948490697459,-8.0077053864605,58.5364073606746,0.3051033,0.7531664,-0.4273568,-0.3962557
1678301088.75046,True,-2.57578933120862,-8.20867538627171,58.5401888285022,0.3068695,0.7537824,-0.4260904,-0.3950826
1678301088.83025,True,-2.82272834645402,-8.41416160352796,58.5154889624583,0.307081,0.7548699,-0.4269307,-0.3919222
1678301088.89408,True,-3.22671042951102,-8.66790808095971,58.4451580336106,0.3076998,0.7586574,-0.4252429,-0.3859124
