timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1679570707.92784,True,5.07123835575921,-1.50385338177877,62.1190452906125,-0.09133087,0.8774973,-0.3101222,0.3542337
1679570707.99167,True,5.1122215747288,-0.738073696350567,62.8697598522706,0.06841104,0.4797469,0.5020577,0.7163107
1679570708.0555,True,5.02086378780934,-0.338115798933185,63.3423284509119,0.06825492,0.4812002,0.50077,0.7162521
1679570708.12531,True,4.68542120481593,-1.08581443858119,62.5667785234816,-0.09444039,0.87893,-0.3123988,0.3478075
1679570708.19313,True,4.58899734857757,-0.525201081468813,63.1621560240886,0.07051468,0.4865616,0.4980155,0.7143292
1679570708.26095,True,4.38314380634071,-0.333458213773442,63.083085840484,0.3760672,0.2690962,0.8721862,0.1595363
1679570708.32777,True,4.26822410010823,-0.22233145874885,63.0396877647884,0.3741563,0.2686661,0.8732588,0.158886
1679570708.39559,True,4.12141368173351,-0.229625349788259,62.7247988509273,0.3754649,0.2691751,0.8726433,0.1583181
1679570708.46341,True,3.95224442585488,-1.09483333512387,61.88594804694,-0.09497945,0.8789022,-0.3136509,0.3466021
1679570708.5364,True,3.92967093535068,-0.676135154221423,61.8566717485374,0.3709172,0.2533099,0.8804786,0.1516972
1679570708.60422,True,3.90693510028413,-0.43369328639706,62.4519376650324,0.3753795,0.2701404,0.8723737,0.1583623
1679570708.67503,True,3.80395494999395,-0.347700888478272,62.800593835838,0.377523,0.2717044,0.8705007,0.1608777
1679570708.74385,True,3.53461382343608,-1.04518388015318,62.2347368513004,0.3793117,0.2716901,0.8695696,0.161728
1679570708.81167,True,3.38974070019273,-0.793227028563583,62.4068352604672,0.3792122,0.2721321,0.8694232,0.1620052
1679570708.87825,True,3.41325544181089,-0.500919206873342,63.0891539514421,0.07110465,0.4964194,0.490986,0.7123516
1679570708.94661,True,3.23298810404533,-0.480277633988212,63.1601460705638,0.3837302,0.2762654,0.865315,0.1663084
1679570709.01842,True,2.95668154776365,-0.596250319445735,62.9558440433244,0.3862468,0.2757813,0.8639596,0.1683213
1679570709.08824,True,2.67988663806966,-0.720920367527924,62.917412303825,0.3907993,0.279271,0.8603289,0.1706396
1679570709.15805,True,2.4681093629235,-0.755627334847384,63.2404167583303,0.2724358,0.3499452,0.8225831,0.3559132
1679570709.22487,True,2.27645499504008,-0.735629863021802,63.6220274178157,0.1609514,0.4342806,0.6850093,0.5623676
1679570709.29269,True,2.04795603712886,-0.739981128506856,63.8161381599466,0.1136078,0.48553,0.5772147,0.6466662
1679570709.3615,True,1.68959275610167,-0.871201838051136,63.6138755991465,0.1758112,0.4278595,0.6924146,0.5537044
1679570709.42932,True,1.26969872461603,-1.03271223966059,63.4218859961888,0.2925044,0.3481883,0.8152983,0.3584618
1679570709.50213,True,0.737194490323481,-1.75787709450527,62.9632315676663,0.4193719,0.2714223,0.8467096,0.1831395
1679570709.56695,True,0.511899318721908,-1.48125904107675,63.159431900087,0.4238786,0.2710748,0.8444736,0.1836023
1679570709.63876,True,0.272468409912894,-1.35278008098586,63.2747172359709,0.4281142,0.273123,0.8411409,0.1860215
1679570709.70658,True,0.061776700339353,-1.31309341278836,63.3452782255535,0.4278157,0.2769653,0.8394969,0.1884383
1679570709.7734,True,-0.110835114945919,-1.30430595102684,63.4350051417746,0.4211411,0.2836946,0.8397087,0.1924755
1679570709.85119,True,-0.189797122725246,-1.30387749183745,63.4197282230816,0.4168751,0.2894927,0.8396276,0.1934808
1679570709.91502,True,-0.203604524169261,-1.2963037643134,63.3839580814309,0.4165444,0.2924947,0.8384841,0.1946328
1679570709.98184,True,-0.203139181372152,-1.29291632992842,63.3063600304886,0.4131827,0.2940266,0.8392109,0.1963503
1679570710.04867,True,-0.21002055165197,-1.28396741707856,63.251563747501,0.413022,0.2956569,0.838359,0.1978741
1679570710.11549,True,-0.234990822439556,-1.27161331439302,63.2195018702936,0.4108553,0.2988779,0.8379043,0.1994654
1679570710.18131,True,-0.258149929427582,-1.24880523519284,63.209037578603,0.4084601,0.301924,0.8375973,0.2010795
1679570710.25112,True,-0.274101103133553,-1.22619384976879,63.180874190597,0.4078454,0.3049905,0.836495,0.2022848
1679570710.31695,True,-0.547419138034132,-2.20442703089593,62.5621434215786,-0.08988219,0.8767479,-0.3702016,0.293573
1679570710.38477,True,-0.585134442653519,-2.44280224675184,62.385585696467,0.4041041,0.3077503,0.8369487,0.2037316
1679570710.45358,True,-0.401410064488968,-1.83547628034729,62.6703756188452,0.4024358,0.3075536,0.8376862,0.2042988
1679570710.5204,True,-0.301872219388284,-1.50322083721022,62.8151231011517,0.4023763,0.3078527,0.8374678,0.2048604
