position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
0,0,0,0,0,0
0,0,0,0,0.5,0
0,-65.51071,88.1142,0.9771743,-0.2109152,0.005758637
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771346,-0.2115716,0.004429606
0,-65.51071,88.1142,0.9771476,-0.2115744,0.004294371
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9771401,-0.2115635,0.004827492
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772826,-0.2109498,0.004281541
0,-65.51071,88.1142,0.9772952,-0.2109525,0.004146704
0,-65.51071,88.1142,0.9773306,-0.21096,0.003742184
0,-65.51071,88.1142,0.9773722,-0.2109689,0.003202803
0,-65.51071,88.1142,0.9773992,-0.2109747,0.002798253
0,-65.51071,88.1142,0.9774107,-0.2109715,0.003061966
0,-65.51071,88.1142,0.9774296,-0.2109811,0.002258837
0,-65.51071,88.1142,0.9774362,-0.2109825,0.002123981
0,-65.51071,88.1142,0.9774362,-0.2109825,0.002123981
0,-65.51071,88.1142,0.9774424,-0.2109839,0.001989123
0,-65.51071,88.1142,0.9774482,-0.2109851,0.001854265
0,-65.51071,88.1142,0.9774482,-0.2109851,0.001854265
0,-65.51071,88.1142,0.9774482,-0.2109851,0.001854265
0,-65.51071,88.1142,0.9774511,-0.2109898,0.001320828
0,-65.51071,88.1142,0.9774482,-0.2109851,0.001854265
0,-65.51071,88.1142,0.9774511,-0.2109898,0.001320828
0,-65.51071,88.1142,0.9774424,-0.2109839,0.001989123
0,-65.51071,88.1142,0.9773722,-0.2109689,0.003202803
0,-65.51071,88.1142,0.9772136,-0.210935,0.004955697
0,-65.51071,88.1142,0.9770374,-0.2109113,0.005905445
0,-65.51071,88.1142,0.976885,-0.2108973,0.006450733
0,-65.51071,88.1142,0.9767217,-0.2108664,0.007394282
0,-65.51071,88.1142,0.9765389,-0.2108312,0.008337682
0,-65.51071,88.1142,0.9763827,-0.2108234,0.008613341
0,-65.51071,88.1142,0.9761975,-0.2107888,0.009421806
0,-65.51071,88.1142,0.9759979,-0.2107511,0.01023013
0,-65.51071,88.1142,0.9758761,-0.2107553,0.01023638
0,-65.51071,88.1142,0.9757296,-0.2107285,0.01077519
0,-65.51071,88.1142,0.9755374,-0.2106929,0.01144861
0,-65.51071,88.1142,0.9752937,-0.2106475,0.01225656
0,-65.51071,88.1142,0.9750357,-0.2105989,0.01306432
0,-65.51071,88.1142,0.9749898,-0.2099418,0.01355509
0,-65.51071,88.1142,0.9748506,-0.2099154,0.01395764
0,-65.51071,88.1142,0.9745995,-0.2105527,0.01387832
0,-65.51071,88.1142,0.9744619,-0.2098413,0.01503085
0,-65.51071,88.1142,0.974023,-0.2097977,0.01570607
0,-65.51071,88.1142,0.9733025,-0.2102653,0.01763767
0,-65.51071,88.1142,0.9728391,-0.2095267,0.01891774
0,-65.51071,88.1142,0.9720395,-0.2094198,0.02012753
0,-65.51071,88.1142,0.9711393,-0.2092453,0.02186697
0,-65.51071,88.1142,0.9699616,-0.209661,0.02381816
0,-65.51071,88.1142,0.9690047,-0.2094721,0.02542558
0,-65.51071,88.1142,0.9682496,-0.2093224,0.02663018
0,-65.51071,88.1142,0.9676845,-0.2085653,0.02760908
0,-65.51071,88.1142,0.9669199,-0.2090575,0.02863586
0,-65.51071,88.1142,0.9663072,-0.208291,0.02960746
