timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1679570857.20908,True,0.803205445687795,-2.11947902309412,66.0169027699201,0.4762197,0.04384222,0.7087798,0.5185787
1679570857.2799,True,1.08136392497166,-2.03316455098572,66.4985487420257,0.4755475,0.04516181,0.7083998,0.5196005
1679570857.3517,True,1.22604256189277,-2.02912071819721,66.7350208792733,0.4744186,0.04527624,0.70914,0.5196129
1679570857.42451,True,-0.014348059517394,-2.66787437968481,64.9861192365952,0.3188097,0.8440979,-0.4027832,0.153704
1679570857.49567,True,0.628366110040114,-2.39645662365101,65.9777287817514,0.4768275,0.05247566,0.7054832,0.5217043
1679570857.56648,True,0.965733595973177,-2.2675461579732,66.5233121711249,0.4752396,0.05435152,0.7065347,0.5215381
1679570857.64228,True,1.13697138106342,-2.22170046117242,66.8029921662928,0.475712,0.05804846,0.7042027,0.5238579
1679570857.71409,True,1.2492879050401,-2.20768996810302,66.8539527322121,0.456985,0.04757966,0.7125874,0.5302076
1679570857.79313,True,1.29630793690493,-2.22419691898458,66.8955203264002,0.4783953,0.05896528,0.7058706,0.5190451
1679570857.86394,True,1.33696924495534,-2.25436559178465,67.0083577165106,0.4889462,0.06557145,0.7018134,0.5138969
1679570857.93675,True,1.35337731388269,-2.28214624462105,67.0330921487843,0.4922574,0.06854493,0.7001632,0.5125971
1679570858.00756,True,1.38406253107579,-2.30624233354505,67.082777771108,0.4930406,0.06969685,0.699217,0.5129806
1679570858.08236,True,1.41407250407768,-2.33281885825881,67.0334489434696,0.4910438,0.06979895,0.699819,0.5140598
1679570858.15217,True,1.47712610746596,-2.35865243367371,67.0642310186062,0.4886773,0.06952826,0.7001278,0.5159279
1679570858.22398,True,1.57840972951082,-2.37706746226783,66.9500846499064,0.4847658,0.06799567,0.7021158,0.5171191
1679570858.29579,True,1.94193788293866,-2.39473372564549,66.6610114915472,0.3630596,0.2197291,0.4443241,0.7889759
1679570858.3676,True,2.12526066595698,-2.39782308262157,66.6688448402852,0.3601682,0.2086166,0.4676391,0.7797895
1679570858.4404,True,2.46322978310126,-2.41208329128961,66.3589196174821,0.3223071,0.3048365,0.2719149,0.8539644
1679570858.51221,True,2.84499545881601,-2.4247451537062,66.0923598229431,0.3114891,0.3521965,0.1653342,0.8669468
1679570858.58202,True,3.20111503283273,-2.4696395529021,65.9566761752129,0.3068823,0.3736006,0.1122902,0.8681226
1679570858.65682,True,3.43706263329713,-2.56607133897174,65.8683788671357,0.3032053,0.3841752,0.08633792,0.8677683
1679570858.73113,True,3.6081150806562,-2.70008964188162,65.7451304510364,0.3003915,0.3883438,0.07449014,0.8679892
1679570858.80992,True,3.80298646858499,-2.82193181832765,65.580923336207,0.2988341,0.3883931,0.07149619,0.8687562
1679570858.88131,True,2.83713643294137,-3.65696489112348,63.9530351753971,0.3338669,0.8249164,-0.4053636,0.2091083
1679570858.95212,True,3.66475335171751,-3.3606099622225,65.1989834655573,0.4251496,0.04324126,0.7282236,0.5357876
1679570859.023,True,4.28895482957976,-3.20570453485642,65.8019019361922,0.4213442,0.04395511,0.7307601,0.535282
1679570859.09282,True,4.16419927692769,-3.60469108109187,64.9189035302896,0.3337333,0.8213118,-0.4062191,0.2214837
