timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w
1679570857.20908,0.3987925,-62.1267,71.36768,0.6514836,-0.158046,-0.142692,0.7281687
1679570857.2799,0.3986421,-62.02421,71.40425,0.6514419,-0.159695,-0.1437341,0.727641
1679570857.3517,0.3985668,-61.97298,71.42257,0.6510119,-0.1608462,-0.1444037,0.7276397
1679570857.42451,0.3985668,-61.97298,71.42257,0.6508566,-0.1616539,-0.145355,0.7274102
1679570857.49567,0.3985668,-61.97298,71.42257,0.6507785,-0.1620576,-0.1458306,0.727295
1679570857.56648,0.3985668,-61.97298,71.42257,0.6511309,-0.1613124,-0.1456356,0.7271844
1679570857.64228,0.3985668,-61.97298,71.42257,0.650666,-0.1612193,-0.1457387,0.7276004
1679570857.71409,0.4782795,-61.97298,71.42293,0.650606,-0.1609201,-0.1460062,0.7276666
1679570857.79313,0.4782795,-61.97298,71.42293,0.651071,-0.1610134,-0.1459033,0.7272506
1679570857.86394,0.4781891,-61.92175,71.44126,0.651071,-0.1610134,-0.1459033,0.7272506
1679570857.93675,0.5180378,-61.92175,71.44147,0.650771,-0.1608338,-0.1468961,0.727359
1679570858.00756,0.5588972,-61.86581,71.26611,0.6498381,-0.1598467,-0.1480168,0.728183
1679570858.08236,0.6002285,-61.82103,71.03767,0.6496417,-0.1599894,-0.1500307,0.7279148
1679570858.15217,0.8046523,-61.79236,70.50998,0.6484317,-0.1585504,-0.1533884,0.7286084
1679570858.22398,0.8886293,-61.77921,70.12226,0.6485357,-0.1574267,-0.1564577,0.7281067
1679570858.29579,1.017438,-61.78923,69.38065,0.6513699,-0.1528859,-0.1610267,0.7255437
1679570858.3676,1.188642,-61.69223,68.67627,0.6523482,-0.1494251,-0.1655882,0.724358
1679570858.4404,1.530522,-61.63069,67.76054,0.6532213,-0.144399,-0.1726982,0.7229289
1679570858.51221,1.871181,-61.44287,67.2382,0.6542899,-0.1368587,-0.1794888,0.7217743
1679570858.58202,2.331685,-61.27765,67.10976,0.6542458,-0.1317198,-0.1844818,0.7215115
1679570858.65682,2.722047,-60.71626,66.53146,0.6522181,-0.1296343,-0.1903879,0.7221904
1679570858.73113,3.29736,-59.9768,65.57894,0.6509258,-0.1283701,-0.1983006,0.7214524
1679570858.80992,4.945796,-59.45478,64.74119,0.6502229,-0.1221197,-0.2069198,0.7207504
1679570858.88131,6.909126,-59.46724,64.13982,0.650628,-0.1171721,-0.2119606,0.7197406
1679570858.95212,9.603937,-59.59947,63.43545,0.6534978,-0.1165837,-0.2148597,0.7163687
1679570859.023,11.49251,-59.64463,63.30068,0.6555182,-0.1154648,-0.2151816,0.7146052
1679570859.09282,12.94978,-59.68166,63.19916,0.6581329,-0.114942,-0.2156427,0.712143
1679570859.16363,13.82111,-59.689,63.25583,0.6595496,-0.1131498,-0.2169622,0.7107172
1679570859.23295,14.90072,-59.689,63.40346,0.6598527,-0.1124095,-0.2194859,0.7097777
1679570859.30376,15.89258,-59.689,63.54908,0.6593884,-0.1125626,-0.2219217,0.7094275
1679570859.37657,17.99742,-59.63841,63.91029,0.6589654,-0.1117085,-0.2253591,0.7088717
1679570859.44937,20.24947,-59.55915,64.19981,0.6601472,-0.1133463,-0.2266104,0.7071111
1679570859.52371,21.24706,-59.47252,64.32986,0.6609802,-0.1146843,-0.2260358,0.7063007
1679570859.59552,22.30789,-59.25571,64.37995,0.6624522,-0.1139563,-0.228422,0.7042687
1679570859.66334,23.30934,-59.21938,64.5102,0.6625057,-0.1112051,-0.2308476,0.7038672
1679570859.73415,24.50563,-59.19697,64.58535,0.6635528,-0.1102165,-0.2322919,0.70256
1679570859.80197,25.45526,-59.13062,64.57854,0.6640727,-0.1093689,-0.2337948,0.7017022
1679570859.87677,27.17771,-59.13439,64.59138,0.6652869,-0.1094405,-0.2354155,0.6999969
1679570859.94758,28.81631,-59.12501,64.2929,0.6663472,-0.112857,-0.2345077,0.6987495
1679570860.02039,29.54523,-59.03644,64.0001,0.6668837,-0.1147805,-0.2337954,0.6981628
1679570860.09419,30.84922,-58.90332,63.35864,0.667775,-0.1159882,-0.2349179,0.696733
1679570860.164,32.27522,-58.67145,62.69502,0.6681427,-0.1167626,-0.2360519,0.6958673
1679570860.23247,35.3827,-58.63562,61.84152,0.6686856,-0.115449,-0.234736,0.6960102
1679570860.30128,37.5401,-58.71286,61.54858,0.6707094,-0.1185637,-0.2300496,0.6951034
1679570860.37209,38.84376,-58.77552,61.09306,0.6732153,-0.1236766,-0.2234077,0.6939555
1679570860.4459,39.77415,-58.81879,60.74067,0.6729513,-0.1237301,-0.2234277,0.6941955
1679570860.51371,41.84304,-58.85567,60.88767,0.6729352,-0.1222899,-0.2244922,0.6941229
1679570860.58552,43.5248,-58.88385,61.03071,0.6733601,-0.1226101,-0.2232941,0.6940408
1679570860.65833,45.84696,-58.91864,61.29332,0.6742294,-0.1249056,-0.2219488,0.6932185
1679570860.72914,47.60268,-58.92953,61.82455,0.675402,-0.1282159,-0.2191784,0.6923537
1679570860.79696,48.78583,-58.94007,62.12224,0.6751648,-0.1286456,-0.2199097,0.6922734
1679570860.86513,49.48366,-58.94007,62.44551,0.6755639,-0.1303639,-0.219216,0.6917825
1679570860.93693,49.61427,-58.94007,62.50663,0.6765607,-0.134812,-0.2167316,0.6907378
1679570861.01872,49.51049,-58.98249,62.6149,0.6785561,-0.1394015,-0.211629,0.6894505
1679570861.09252,47.98182,-58.97169,62.15065,0.6814838,-0.1477761,-0.2033442,0.6873087
1679570861.16433,46.1099,-58.92413,61.28812,0.6817142,-0.1495794,-0.2016523,0.6871885
1679570861.23215,44.56435,-58.92413,60.63562,0.6806974,-0.1487788,-0.2039555,0.6876904
1679570861.30395,43.41023,-58.92413,60.16534,0.6798066,-0.1541481,-0.2002772,0.6884696
1679570861.37377,40.72817,-58.92413,59.12736,0.6777906,-0.1620425,-0.195741,0.6899475
1679570861.44956,38.41096,-58.9214,58.34856,0.6757508,-0.1661444,-0.1938423,0.6915071
1679570861.52137,36.40912,-58.91307,57.84125,0.6729016,-0.1714095,-0.1912463,0.6937198
1679570861.59517,33.36242,-58.88081,57.50676,0.6703522,-0.178609,-0.1884075,0.695147
1679570861.66399,30.7339,-58.84588,57.3684,0.6691768,-0.1834131,-0.186519,0.6955377
1679570861.7328,28.3273,-58.83924,56.84179,0.6636462,-0.18803,-0.1883173,0.6991102
1679570861.80062,26.93691,-58.83589,56.55357,0.6589773,-0.1949016,-0.186821,0.7020401
1679570861.87243,24.67904,-58.83589,56.03355,0.6541439,-0.2040312,-0.1828153,0.7050146
1679570861.94923,23.43057,-58.83589,55.76648,0.6493273,-0.2086749,-0.1797699,0.7088805
1679570862.01804,22.0864,-58.83589,55.49509,0.64687,-0.214386,-0.1757289,0.7104345
1679570862.08885,19.71502,-58.83589,55.05676,0.6438297,-0.2231453,-0.1707308,0.7117166
1679570862.16265,17.56866,-58.83589,54.70414,0.6426348,-0.2295851,-0.1675975,0.711493
1679570862.23247,14.15657,-58.83924,54.17422,0.6416843,-0.233636,-0.1681747,0.7108957
1679570862.30029,12.1827,-58.83924,53.94677,0.6400099,-0.2306406,-0.1723211,0.7123886
1679570862.37509,11.41694,-58.90918,53.51991,0.6386217,-0.2266143,-0.1749111,0.7142929
1679570862.4459,10.73052,-58.97215,53.21497,0.6368618,-0.2318432,-0.1692849,0.7155406
1679570862.51571,9.417455,-58.9814,52.93685,0.6316013,-0.2368514,-0.1617703,0.7202858
